Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,United Kingdom,Lancaster,England,GB3LD,,145.675000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,54.030000,-2.760000,0:00
1,United Kingdom,Lancaster,England,GB7LF  B,GB7LF  G,439.537500,DUP-,9.000000,DV,,,YES,Approximate,54.030000,-2.760000,0:00
1,United Kingdom,Langholm,Scotland,GB3AS,,145.600000,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,55.110000,-2.930000,0:00
1,United Kingdom,Lapford,England,GB3LZ,,145.662500,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,50.880000,-3.770000,0:00
1,United Kingdom,Largs,Scotland,GB7AC,,430.950000,DUP+,7.600000,FM,TONE,103.5Hz,YES,Approximate,55.800000,-4.900000,0:00
1,United Kingdom,Lauder,Scotland,GB3LB,,145.787500,DUP-,0.600000,FM,TONE,118.8Hz,YES,Approximate,55.800000,-2.900000,0:00
1,United Kingdom,Leasowe,England,GB3MC,,439.337500,DUP-,9.000000,FM,TONE,110.9Hz,YES,Approximate,53.410000,-3.100000,0:00
1,United Kingdom,Leicester,England,GB3LN,,430.925000,DUP+,7.600000,FM,TONE,118.8Hz,YES,Approximate,52.620000,-1.190000,0:00
1,United Kingdom,Leigh,England,GB7HN,,430.875000,DUP+,7.600000,FM,TONE,82.5Hz,YES,Approximate,53.480000,-2.540000,0:00
1,United Kingdom,Leominister,Wales &,GB3JM,,430.875000,DUP+,7.600000,FM,TONE,118.8Hz,YES,Approximate,52.300000,-2.700000,0:00
1,United Kingdom,Lerwick,Scotland,GB3LU,,145.675000,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,60.140000,-1.210000,0:00
1,United Kingdom,Limavady,Northern,GB3LY,,145.600000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,55.110000,-6.890000,0:00
1,United Kingdom,Lincoln,England,GB3LM,,145.725000,DUP-,0.600000,FM,TONE,71.9Hz,YES,Approximate,53.230000,-0.540000,0:00
1,United Kingdom,Lincoln,England,GB3LS,,433.050000,DUP+,1.600000,FM,TONE,71.9Hz,YES,Approximate,53.230000,-0.540000,0:00
1,United Kingdom,Linlithgow,Scotland,GB3OH,,430.950000,DUP+,7.600000,FM,TONE,94.8Hz,YES,Approximate,56.000000,-3.650000,0:00
1,United Kingdom,Linlithgow,Scotland,GB3OH  B,GB3OH  G,430.950000,DUP+,7.600000,DV,,,YES,Approximate,56.000000,-3.650000,0:00
1,United Kingdom,Lisburn,Northern,GB7HI  B,GB7HI  G,439.737500,DUP-,9.000000,DV,,,YES,Approximate,54.500000,-6.100000,0:00
1,United Kingdom,Liskeard,England,GB3CH,,430.875000,DUP+,7.600000,FM,TONE,77.0Hz,YES,Approximate,50.510000,-4.440000,0:00
1,United Kingdom,Liskeard,England,GB3JL,,145.787500,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,50.510000,-4.440000,0:00
1,United Kingdom,Liverpool,England,GB3LI,,433.250000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,53.460000,-3.010000,0:00
1,United Kingdom,Livingston,No CTCSS,GB7LV,,145.612500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,55.880000,-3.530000,0:00
1,United Kingdom,Livingston,Scotland,GB7LV  C,GB7LV  G,145.612500,DUP-,0.600000,DV,,,YES,Approximate,55.880000,-3.530000,0:00
1,United Kingdom,Llandudno,Wales &,GB3GO,,145.787500,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,53.330000,-3.850000,0:00
1,United Kingdom,Llandudno,Wales &,GB3OR,,430.837500,DUP+,7.600000,FM,TONE,103.5Hz,YES,Approximate,53.330000,-3.850000,0:00
1,United Kingdom,Llangollen,Wales &,GB3LL,,433.000000,DUP+,1.600000,FM,TONE,94.8Hz,YES,Approximate,53.000000,-3.100000,0:00
1,United Kingdom,Lochmaddy,Scotland,GB3EI,,145.612500,DUP-,0.600000,FM,TONE,88.5Hz,YES,Approximate,57.550000,-7.330000,0:00
1,United Kingdom,Lochmaddy,Scotland,GB3EI  C,GB3EI  G,145.612500,DUP-,0.600000,DV,,,YES,Approximate,57.550000,-7.330000,0:00
1,United Kingdom,Lochmaddy,Scotland,GB7EI,,430.850000,DUP+,7.600000,FM,TONE,88.5Hz,YES,Approximate,57.550000,-7.330000,0:00
1,United Kingdom,Lochmaddy,Scotland,GB7EI  B,GB7EI  G,430.850000,DUP+,7.600000,DV,,,YES,Approximate,57.550000,-7.330000,0:00
1,United Kingdom,London,England,GB3EL,,145.600000,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,51.530000,0.040000,0:00
1,United Kingdom,Longbridge,England,GB3WM,,433.050000,DUP+,1.600000,FM,TONE,67.0Hz,YES,Approximate,52.400000,-1.960000,0:00
1,United Kingdom,Longridge,England,GB7RL  B,GB7RL  G,439.775000,DUP-,9.000000,DV,,,YES,Approximate,53.840000,-2.580000,0:00
1,United Kingdom,Louth,England,GB3LC,,430.937500,DUP+,7.600000,FM,TONE,71.9Hz,YES,Approximate,53.320000,-0.120000,0:00
1,United Kingdom,Lowestoft,England,GB3YL,,433.350000,DUP+,1.600000,FM,TONE,94.8Hz,YES,Approximate,52.470000,1.740000,0:00
1,United Kingdom,Ludlow,Wales &,GB3HN,,433.025000,DUP+,1.600000,FM,TONE,103.5Hz,YES,Approximate,52.400000,-2.600000,0:00
1,United Kingdom,Ludlow,Wales &,GB3VN,,430.925000,DUP+,7.600000,FM,TONE,103.5Hz,YES,Approximate,52.360000,-2.600000,0:00
1,United Kingdom,Luton,England,GB3LT,,433.250000,DUP+,1.600000,FM,TONE,77.0Hz,YES,Approximate,51.910000,-0.460000,0:00
1,United Kingdom,Maenclochog,Wales &,GB7PD,,145.737500,DUP-,0.600000,FM,TONE,94.8Hz,YES,Approximate,51.920000,-4.800000,0:00
1,United Kingdom,Maenclochog,Wales &,GB7PD  C,GB7PD  G,145.737500,DUP-,0.600000,DV,,,YES,Approximate,51.920000,-4.800000,0:00
1,United Kingdom,Magherafelt,Northern,GB3MT,,430.900000,DUP+,7.600000,FM,TONE,110.9Hz,YES,Approximate,54.750000,-6.600000,0:00
1,United Kingdom,Magherafelt,Northern,GB7MF  B,GB7MF  G,439.675000,DUP-,9.000000,DV,,,YES,Approximate,54.750000,-6.610000,0:00
1,United Kingdom,Maidstone,England,GB3KN,,145.700000,DUP-,0.600000,FM,TONE,103.5Hz,YES,Approximate,51.300000,0.590000,0:00
1,United Kingdom,Maidstone,England,GB3RE,,433.275000,DUP+,1.600000,FM,TONE,103.5Hz,YES,Approximate,51.300000,0.600000,0:00
1,United Kingdom,Maltby,England,GB3DV,,433.025000,DUP+,1.600000,FM,TONE,71.9Hz,YES,Approximate,53.420000,-1.190000,0:00
1,United Kingdom,Manchester,England,GB3MI,,145.712500,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,53.500000,-2.200000,0:00
1,United Kingdom,Manchester,England,GB3MI  C,GB3MI  G,145.712500,DUP-,0.600000,DV,,,YES,Approximate,53.500000,-2.200000,0:00
