"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","REG","Netw","Col","QTHR","NGR","WHERE","DMR","DSTAR","FUSION","NXDN",
GB7MB,70CM,DVU56,439.700000,430.700000,,NOR,,,IO84,SD4464,MORECAMBE,,,Y,,
GB7MC,70CM,DVU43,439.537500,430.537500,,SW,,,IO70,SW9453,ST AUSTELL,,Y,Y,,
GB7MD,70CM,DVU32,439.400000,430.400000,,SW,,,IO80UT,ST8002,BLANDFORD FORUM,,,Y,,
GB7ME,70CM,DVU58,439.725000,430.725000,,CEN,,3,IO92JJ,SP5177,RUGBY,,Y,,,
GB7MF,70CM,DVU54,439.675000,430.675000,,NI,DV Scotland Phoenix,3,IO64QR,IH8989,MAGHERAFELT,Y,Y,Y,,
GB7MH,70CM,DVU51,439.637500,430.637500,,SE,freeDMR,2,IO91WC,TQ3335,EAST GRINSTEAD,Y,Y,Y,,
GB7MJ,70CM,DVU51,439.637500,430.637500,,SW,SW CLUSTER,5,IO91GA,SU3623,ROMSEY,Y,,,,
GB7MK,70CM,DVU48,439.600000,430.600000,,SE,DV Scotland Phoenix,13,JO02OB,TM1944,IPSWICH,Y,,,,
GB7MM,70CM,DVU60,439.750000,430.750000,,SCOT,DV Scotland Phoenix,5,IO87BN,NH8655,NAIRN,Y,Y,Y,,
GB7MN,70CM,DVU33,439.412500,430.412500,,NOR,DV Scotland Phoenix,2,IO83,SJ9781,STOCKPORT,Y,,,,
GB7MP,70CM,DVU60,439.750000,430.750000,,NOR,BRANDMEISTER,3,IO84NB,SD4162,HEYSHAM,Y,,,,
GB7MR,70CM,DVU59,439.737500,430.737500,,NOR,NORTHERN DMR CLUSTER,2,IO83,SD7716,BURY,Y,,,,
GB7MS,2M,RV62,145.775000,145.175000,,NOR,BRANDMEISTER,10,IO94EX,NZ2563,NEWCASTLE UPON TYNE,Y,,,,
GB7MT,70CM,DVU53,439.662500,430.662500,,SW,,,IO90IV,SU4711,SOUTHAMPTON,,,Y,,
GB7NA-A,23CM,RM12,1297.300000,1291.300000,,NOR,,,IO93HN,SE3907,BARNSLEY,,Y,,,
GB7NA-B,70CM,DVU36,439.450000,430.450000,71.9,NOR,,,IO93HN,SE3907,BARNSLEY,,Y,,,
GB7NA-C,2M,RV54,145.675000,145.075000,,NOR,,,IO93HN,SE3907,BARNSLEY,,Y,,,
GB7NB,70CM,DVU55,439.687500,430.687500,,CEN,,,JO02PN,TG2502,NORWICH,,Y,,,
