"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","LOC","WHERE","ANALOG","DMR","DSTAR","FUSION",
GB7EE,70CM,RU74,430.925000,438.525000,,IO85JW,EDINBURGH,,Y,,,
GB7EG,70CM,DVU61,439.762500,430.762500,,IO91XC,EAST GRINSTEAD,,Y,,,
GB7EH,70CM,RU75,430.937500,438.537500,,IO92GC,BANBURY,,Y,,,
GB7EI,70CM,RU68,430.850000,438.450000,88.5,IO67IN,LOCHMADDY,Y,Y,Y,Y,
GB7EL,70CM,DVU57,439.712500,430.712500,,IO83VT,NELSON,,Y,,,
GB7EP,70CM,DVU32,439.400000,430.400000,,IO91UI,EPSOM,,Y,,,
GB7ER,2M,RV62,145.775000,145.175000,77,IO80GR,EXETER,Y,,,Y,
GB7ES,70CM,DVU35,439.437500,430.437500,,JO00DT,EASTBOURNE,,,Y,,
GB7ET,70CM,U321A,434.018750,434.018750,,IO91VF,REIGATE,,,,,
GB7EU,70CM,RU67,430.837500,438.437500,94.8,IO85JW,EDINBURGH,Y,,,,
GB7EW,70CM,DVU42,439.525000,430.525000,,IO80FR,EXETER,,Y,,,
GB7EX,70CM,DVU57,439.712500,430.712500,,JO01GN,SOUTHEND ON SEA,,Y,,,
GB7EY,70CM,DVU41,439.512500,430.512500,,IO85NM,SELKIRK,,Y,Y,Y,
GB7EZ,70CM,DVU62,439.775000,430.775000,,IO92CM,ERDINGTON,,Y,,,
GB7FD,70CM,DVU58,439.725000,430.725000,,IO83LV,FLEETWOOD,,,,Y,
GB7FE,70CM,DVU38,439.475000,430.475000,,IO86BC,STIRLING,,Y,Y,Y,
GB7FG,70CM,RU76,430.950000,438.550000,94.8,IO71WW,CARMARTHEN,Y,,,Y,
GB7FI,70CM,RU71,430.887500,438.487500,,IO81OH,AXBRIDGE,,Y,,,
GB7FK-B,70CM,DVU54,439.675000,430.675000,,JO01OC,FOLKESTONE,,,Y,,
GB7FO,70CM,DVU-R22,430.275000,439.275000,,IO83LT,BLACKPOOL,,Y,,,
GB7FR,70CM,DVU40,439.500000,430.500000,,IO90ST,WORTHING,,Y,,,
GB7FT,70CM,DVU57,439.712500,430.712500,,IO90LT,PORTSMOUTH,,Y,,,
GB7FU,70CM,RU71,430.887500,438.487500,,IO93JA,NOTTINGHAM,Y,,,Y,
GB7GB,70CM,DVU61,439.762500,430.762500,,IO92BM,SUTTON COLDFIELD,,Y,,,
GB7GC,70CM,DVU35,439.437500,430.437500,,IO93WN,GRIMSBY,,Y,Y,,
GB7GD,2M,RV55,145.687500,145.087500,,IO87WE,ABERDEEN,,Y,Y,Y,
GB7GF,70CM,DVU55,439.687500,430.687500,,IO91RF,GUILDFORD,,Y,,,
GB7GG,70CM,DVU50,439.625000,430.625000,,IO85AV,AIRDRIE,,Y,Y,Y,
GB7GJ,70CM,RU72,430.900000,438.500000,88.5,IN89WE,ST HELIER,Y,Y,,,
GB7GL,70CM,RU68,430.850000,438.450000,,IO75VV,GLASGOW,,Y,,,
GB7GP,70CM,DVU52,439.650000,430.650000,,IO91PP,HIGH WYCOMBE,,Y,,Y,
GB7GR,70CM,DVU36,439.450000,430.450000,,IO92QW,GRANTHAM,,Y,Y,Y,
GB7GS,70CM,DVU36,439.450000,430.450000,,JO02EO,DOWNHAM MARKET,,Y,,Y,
GB7GT,70CM,DVU33,439.412500,430.412500,,IO82QJ,CLEE HILL,,Y,,,
GB7GW,70CM,RU65,430.812500,438.412500,103.5,IO94FV,WASHINGTON,Y,Y,Y,Y,
GB7GY,70CM,DVU55,439.687500,430.687500,,IN89RL,ST. PETER PORT,,Y,,,
GB7HA,70CM,DVU34,439.425000,430.425000,,IO91TU,HARPENDEN,,,,Y,
GB7HB,70CM,DVU50,439.625000,430.625000,,IO64TI,TANDRAGEE,,Y,,,
GB7HC,70CM,DVU42,439.525000,430.525000,,IO82PA,HEREFORD,,Y,,,
GB7HE,70CM,DVU43,439.537500,430.537500,,JO00HV,HASTINGS,,,Y,,
GB7HH,70CM,DVU60,439.750000,430.750000,,JO01CN,ROMFORD,,Y,Y,Y,
GB7HI,70CM,DVU59,439.737500,430.737500,,IO64XN,LISBURN,,Y,Y,Y,
GB7HM,70CM,DVU51,439.637500,430.637500,,IO83LC,CAERGWRLE,,Y,,,
GB7HN,70CM,RU70,430.875000,438.475000,82.5,IO83RL,LEIGH,Y,,,,
GB7HR,70CM,DVU36,439.450000,430.450000,,IO91SL,HEATHROW,,Y,,,
GB7HS,70CM,DVU34,439.425000,430.425000,,IO83XR,HEPTONSTALL,,Y,,,
GB7HT,70CM,DVU59,439.737500,430.737500,,IO95FE,ASHINGTON,,Y,,,
GB7HU,70CM,DVU39,439.487500,430.487500,,IO93RS,SOUTH CAVE,,,Y,,
GB7HX,70CM,DVU46,439.575000,430.575000,,IO93BP,HUDDERSFIELD,,Y,Y,,
GB7IC-A,23CM,23CM,1290.650000,1270.650000,,JO01NI,HERNE BAY,,,Y,,
GB7IC-B,70CM,DVU36,439.450000,430.450000,,JO01NI,HERNE BAY,,,Y,,
GB7IC-C,2M,RV53,145.662500,145.062500,,JO01NI,HERNE BAY,Y,,Y,,
GB7IE,2M,RV54,145.675000,145.075000,77,IO70WJ,PLYMOUTH,Y,,,Y,
GB7II,70CM,DVU36,439.450000,430.450000,,IO77UL,INVERNESS,,Y,,,
GB7IK,70CM,DVU43,439.537500,430.537500,,JO01FJ,ROCHESTER,,Y,,,
GB7IL,2M,RV53,145.662500,145.062500,,IO77UL,INVERNESS,,Y,,,
GB7IN,70CM,DVU52,439.650000,430.650000,,IO93GD,ALFRETON,,Y,,,
GB7IP,2M,RV52,145.650000,145.050000,,IO92KP,LEICESTER,,Y,,,
GB7IS,70CM,DVU43,439.537500,430.537500,,IO81MH,WESTON-SUPER-MARE,,,,Y,
GB7IT,70CM,DVU41,439.512500,430.512500,,IO81MH,WESTON-SUPER-MARE,,Y,,,
GB7IV,2M,RV62,145.775000,145.175000,,IO90IV,SOUTHAMPTON,,,Y,,
GB7JB,70CM,DVU37,439.462500,430.462500,,IO81TB,WINCANTON,,Y,,,
GB7JD,70CM,DVU33,439.412500,430.412500,,IO85RL,JEDBURGH,,Y,Y,,
GB7JF,70CM,DVU51,439.637500,430.637500,,IO92NE,NORTHAMPTON,,,Y,,
GB7JI,70CM,RU68,430.850000,438.450000,,IN89WE,ST HELIER,,,Y,,
GB7JL,70CM,RU77,430.962500,438.562500,82.5,IO83QL,WIGAN,Y,Y,,,
GB7JM,70CM,DVU47,439.587500,430.587500,,JO03BI,ALFORD,,Y,Y,Y,
GB7KB,2M,RV52,145.650000,145.050000,,JO00CX,HEATHFIELD,,Y,,,
GB7KD,70CM,DVU55,439.687500,430.687500,,JO00DV,HAILSHAM,,Y,,,
GB7KK,70CM,RU74,430.925000,438.525000,,IO65VE,BALLYCASTLE,,Y,Y,Y,
GB7KL,70CM,RU70,430.875000,438.475000,110.9,IO84RD,KIRKBY LONSDALE,Y,,,Y,
GB7KN,70CM,DVU35,439.437500,430.437500,,IO85HV,EDINBURGH,,Y,Y,Y,
GB7KP,70CM,DVU46,439.575000,430.575000,,IO74DM,COMBER,,Y,Y,Y,
GB7KR,70CM,DVU-R24,430.300000,439.300000,,IO82UJ,KIDDERMINSTER,,Y,,,
GB7KS,70CM,DVU-R20,430.250000,439.250000,,IO81VR,STROUD,,Y,,,
GB7KT,70CM,DVU40,439.500000,430.500000,,IO91GE,ANDOVER,,Y,,,
GB7KU,70CM,DVU42,439.525000,430.525000,,IO92TT,BOURNE,,Y,Y,Y,
GB7KY,70CM,DVU52,439.650000,430.650000,103.5,IO86JC,KIRKCALDY,Y,Y,Y,Y,
GB7LD,70CM,DVU35,439.437500,430.437500,,IO83PQ,LEYLAND,,Y,,,
GB7LE,70CM,DVU53,439.662500,430.662500,,IO93FU,LEEDS,,Y,,,
GB7LF,70CM,DVU43,439.537500,430.537500,,IO84OA,LANCASTER,,,Y,,
GB7LK,70CM,RU65,430.812500,438.412500,,IO70SM,LISKEARD,,Y,,,
GB7LL,70CM,DVU40,439.496875,430.496875,,IO82KW,LLANGOLLEN,,Y,,,
GB7LN,70CM,DVU32,439.400000,430.400000,,IO93RF,LINCOLN,,Y,,,
GB7LP,70CM,DVU32,439.400000,430.400000,,IO83MK,LIVERPOOL,,Y,,,
GB7LR,70CM,DVU38,439.475000,430.475000,,IO92IQ,LEICESTER,,Y,,,
GB7LS,70CM,DVU32,439.400000,430.400000,,IO85NO,GALASHIELS ,,Y,Y,Y,
GB7LV,2M,RV49,145.612500,145.012500,,IO85FV,LIVINGSTON,Y,Y,Y,Y,
GB7LZ,70CM,RU73,430.912500,438.512500,77.0,IO80CV,LAPFORD,Y,Y,,,
GB7MB,70CM,DVU56,439.700000,430.700000,,IO84NB,MORECAMBE,,,,Y,
GB7MC,70CM,DVU43,439.537500,430.537500,,IO70NI,ST AUSTELL,,,Y,Y,
GB7MD,70CM,DVU32,439.400000,430.400000,,IO80UT,BLANDFORD FORUM,,,,Y,
GB7ME,70CM,DVU58,439.725000,430.725000,,IO92JJ,RUGBY,,Y,,,
GB7MF,70CM,DVU54,439.675000,430.675000,,IO64QR,MAGHERAFELT,,Y,Y,Y,
GB7MH,70CM,DVU51,439.637500,430.637500,,IO91WC,EAST GRINSTEAD,,Y,Y,Y,
GB7MJ,70CM,DVU51,439.637500,430.637500,,IO91GA,ROMSEY,,Y,,,
GB7MK,70CM,DVU48,439.600000,430.600000,,JO02OB,IPSWICH,,Y,,,
GB7MM,70CM,DVU60,439.750000,430.750000,,IO87BN,NAIRN,,Y,Y,Y,
GB7MN,70CM,DVU33,439.412500,430.412500,,IO83XH,STOCKPORT,,Y,,,
GB7MP,70CM,DVU60,439.750000,430.750000,,IO84NB,HEYSHAM,,Y,,,
