"repeater","band","channel","TX","RX","mode","QTHR","where","region","code","keeper","status",
GB3EH,70CM,RU77,430.962500,438.562500,AV,IO92GC,BANBURY,MIDL,67,G4OHB,OPERATIONAL,
GB3EI,2M,RV49,145.612500,145.012500,MULTI,IO67IN,LOCHMADDY,SCOT,88.5,GM8SAU,OPERATIONAL,
GB3EJ,23CM,RM04,1297.100000,1291.100000,AV,JO02CD,CAMBRIDGE,SE,77,G8MLA,NOT OPERATIONAL,
GB3EK,70CM,RU71,430.887500,438.487500,AV,JO01QJ,MARGATE,SE,103.5,M0LMK,OPERATIONAL,
GB3EL,2M,RV48,145.600000,145.000000,AV,JO01AM,LONDON,SE,82.5,G4RZZ,OPERATIONAL,
GB3EM,2M,RV61,145.762500,145.162500,AV,IO92LJ,COLD ASHBY,MIDL,77.0,M1FJB,REDUCED OUTPUT,
GB3ER,70CM,RB03,433.075000,434.675000,MULTI,JO01GR,DANBURY,SE,110.9,G6JYB,OPERATIONAL,
GB3ES,2M,RV54,145.675000,145.075000,AV,JO00HV,HASTINGS,SE,103.5,G6ZZX,OPERATIONAL,
GB3EU,70CM,UR67,438.437500,430.837500,AV,IO92LJ,COLD ASHBY,MIDL,77.0,M1FJB,NOT OPERATIONAL,
GB3EV,2M,RV56,145.700000,145.100000,AV,IO84SQ,DUFTON,NOR,77,G0TNF,OPERATIONAL,
GB3EW,2M,RV49,145.612500,145.012500,AV,IO80FR,EXETER,SW,77,G6ATJ,OPERATIONAL,
GB3EX,70CM,RU76,430.950000,438.550000,AV,IO80GT,SILVERTON,SW,77,G7NBU,OPERATIONAL,
GB3EZ,70CM,RU78,430.975000,438.575000,AV,JO02GE,WICKHAMBROOK,SE,110.9,G1YFF,NOT OPERATIONAL,
GB3FC,70CM,RU68,430.850000,438.450000,AV,IO83LU,BLACKPOOL,NOR,82.5,M0DKR,OPERATIONAL,
GB3FE,2M,RV53,145.662500,145.062500,AV,IO86BC,STIRLING,SCOT,103.5,GM0MZB,OPERATIONAL,
GB3FF ,2M,RV48,145.600000,145.000000,AV,IO86MU,UPPER LARGO,SCOT,103.5,GM7LUN,OPERATIONAL,
